TIC_ID,label,mission
10797460,1,Kepler
10848459,0,Kepler
10854555,1,Kepler
10872983,1,Kepler
6721123,0,Kepler
10910878,1,Kepler
11446443,1,Kepler
10666592,1,Kepler
6922244,1,Kepler
10984090,1,Kepler
10419211,0,Kepler
10464078,0,Kepler
10480982,0,Kepler
10485250,0,Kepler
10526549,1,Kepler
10583066,1,Kepler
10583180,0,Kepler
10601284,1,Kepler
2306756,0,Kepler
10662202,1,Kepler
10682541,1,Kepler
11460018,1,Kepler
11463211,0,Kepler
11465813,0,Kepler
11493732,0,Kepler
11507101,1,Kepler
10987985,1,Kepler
11018648,1,Kepler
11138155,1,Kepler
11152159,0,Kepler
11153539,1,Kepler
11242721,0,Kepler
9579641,1,Kepler
11304958,1,Kepler
11391957,1,Kepler
11403044,1,Kepler
11414511,1,Kepler
11442465,0,Kepler
12110942,1,Kepler
12366084,1,Kepler
12404086,1,Kepler
8395660,1,Kepler
11656840,0,Kepler
11754553,1,Kepler
11812062,1,Kepler
11853255,1,Kepler
11909839,0,Kepler
11918099,1,Kepler
11923270,1,Kepler
11960862,1,Kepler
12020329,1,Kepler
12066335,1,Kepler
12070811,1,Kepler
3120431,0,Kepler
3246984,0,Kepler
3342970,1,Kepler
12459725,0,Kepler
12470844,1,Kepler
12644822,1,Kepler
2440757,0,Kepler
2445129,0,Kepler
2713049,1,Kepler
3114167,1,Kepler
3114661,0,Kepler
4139816,1,Kepler
4275191,1,Kepler
4476123,1,Kepler
3351888,1,Kepler
3554600,0,Kepler
3641726,1,Kepler
3734868,0,Kepler
3832474,1,Kepler
3836375,0,Kepler
3838486,0,Kepler
3935914,1,Kepler
3940418,1,Kepler
4049131,1,Kepler
5287983,0,Kepler
5358241,1,Kepler
10875245,1,Kepler
5358624,1,Kepler
4664847,1,Kepler
4725681,1,Kepler
4913852,1,Kepler
4932348,0,Kepler
11913073,0,Kepler
5021899,1,Kepler
5077629,0,Kepler
5164255,1,Kepler
5252423,1,Kepler
5272878,1,Kepler
5283542,0,Kepler
5649215,0,Kepler
5651104,1,Kepler
5792202,1,Kepler
5370302,0,Kepler
5372966,0,Kepler
5376067,0,Kepler
5436502,1,Kepler
5456651,1,Kepler
5481416,0,Kepler
5531576,1,Kepler
5534814,0,Kepler
6291653,1,Kepler
6392727,1,Kepler
6422070,1,Kepler
6428700,1,Kepler
5794379,1,Kepler
5881688,1,Kepler
6022556,1,Kepler
6032497,1,Kepler
6061119,1,Kepler
6191521,1,Kepler
6267425,0,Kepler
3531558,1,Kepler
6276477,1,Kepler
6863998,1,Kepler
6948054,1,Kepler
6435936,1,Kepler
6522242,1,Kepler
6587280,1,Kepler
9471974,1,Kepler
6675056,0,Kepler
6685526,1,Kepler
6756669,0,Kepler
6784235,1,Kepler
6849310,1,Kepler
6862603,0,Kepler
7366258,1,Kepler
7373451,1,Kepler
6949607,1,Kepler
11869052,0,Kepler
7109675,1,Kepler
7118364,1,Kepler
7134976,1,Kepler
7135852,1,Kepler
7270230,0,Kepler
7287995,1,Kepler
3247396,0,Kepler
7303253,1,Kepler
5094751,1,Kepler
7678434,1,Kepler
7685981,1,Kepler
7708215,0,Kepler
7377033,0,Kepler
7434875,1,Kepler
8349582,1,Kepler
7455287,1,Kepler
7458762,1,Kepler
7552344,0,Kepler
757450,1,Kepler
7585481,1,Kepler
7663691,1,Kepler
5812701,1,Kepler
8039892,1,Kepler
8150320,1,Kepler
11086270,1,Kepler
7767559,0,Kepler
7825899,1,Kepler
7849854,1,Kepler
7870390,1,Kepler
7907423,1,Kepler
7938496,1,Kepler
8490993,1,Kepler
8505670,1,Kepler
8544996,1,Kepler
8180063,0,Kepler
8226994,1,Kepler
8247638,1,Kepler
8255887,1,Kepler
8256049,0,Kepler
8414716,1,Kepler
9141746,1,Kepler
9159275,0,Kepler
9166862,1,Kepler
9166870,0,Kepler
11449844,1,Kepler
8605074,0,Kepler
8628973,1,Kepler
8655354,0,Kepler
8672910,1,Kepler
8686150,0,Kepler
8689031,1,Kepler
8689373,1,Kepler
8826878,1,Kepler
5897826,0,Kepler
8883593,1,Kepler
9016295,0,Kepler
9077124,1,Kepler
9097120,0,Kepler
9466668,1,Kepler
9479273,1,Kepler
8359498,1,Kepler
9171801,0,Kepler
9334289,1,Kepler
9347899,1,Kepler
9388479,1,Kepler
11359879,1,Kepler
9406990,1,Kepler
9415172,1,Kepler
9904059,0,Kepler
3231341,1,Kepler
7626506,1,Kepler
10482160,1,Kepler
10485069,0,Kepler
3233043,0,Kepler
6579806,0,Kepler
3560301,0,Kepler
4044005,0,Kepler
5802246,0,Kepler
6066403,0,Kepler
6209637,0,Kepler
5988031,0,Kepler
7684873,0,Kepler
8559644,1,Kepler
2851100,0,Kepler
3130300,0,Kepler
3240158,1,Kepler
3228959,0,Kepler
3218908,1,Kepler
10341913,0,Kepler
10480921,0,Kepler
10350571,1,Kepler
3749365,1,Kepler
11673674,0,Kepler
3632418,1,Kepler
3441784,0,Kepler
5820218,0,Kepler
5876368,0,Kepler
5809890,1,Kepler
6131236,1,Kepler
9048161,0,Kepler
3235672,0,Kepler
2837111,1,Kepler
3120276,0,Kepler
3547091,0,Kepler
3869825,0,Kepler
3655332,0,Kepler
4042026,0,Kepler
3344419,0,Kepler
11192141,0,Kepler
11494130,0,Kepler
